generated_at,fantasypros_id,espn_id,player_name,pos,team,ecr,sd,best,worst,pos_rank,r2p_pts,player_opponent,player_bye_week,scrape_date
2026-09-15T18:35:35.444910+09:00,17298,3918298,Josh Allen,QB,BUF,1,0,1,1,QB1,,vs. DET,7,2026-09-15
2026-09-15T18:35:35.444910+09:00,17233,3916387,Lamar Jackson,QB,BAL,2.07,0.25,2,3,QB2,,vs. NO,13,2026-09-15
2026-09-15T18:35:35.444910+09:00,23084,4431611,Caleb Williams,QB,CHI,4.13,1.89,3,10,QB3,,vs. MIN,10,2026-09-15
2026-09-15T18:35:35.444910+09:00,15600,2577417,Dak Prescott,QB,DAL,5.27,1.84,3,9,QB4,,vs. WAS,14,2026-09-15
2026-09-15T18:35:35.444910+09:00,19275,4040715,Jalen Hurts,QB,PHI,5.33,1.49,3,8,QB5,,at TEN,10,2026-09-15
2026-09-15T18:35:35.444910+09:00,19797,4361741,Brock Purdy,QB,SF,6.53,1.67,4,9,QB6,,vs. MIA,8,2026-09-15
2026-09-15T18:35:35.444910+09:00,22902,4426348,Jayden Daniels,QB,WAS,6.93,1.88,4,10,QB7,,at DAL,7,2026-09-15
2026-09-15T18:35:35.444910+09:00,19196,3915511,Joe Burrow,QB,CIN,8.6,2.03,5,13,QB8,,at HOU,6,2026-09-15
2026-09-15T18:35:35.444910+09:00,18635,4038941,Justin Herbert,QB,LAC,9.8,1.38,7,12,QB9,,vs. LV,7,2026-09-15
2026-09-15T18:35:35.444910+09:00,19780,4360310,Trevor Lawrence,QB,JAC,10.73,2.29,8,15,QB10,,at DEN,7,2026-09-15
2026-09-15T18:35:35.444910+09:00,23046,4431452,Drake Maye,QB,NE,10.8,3.21,5,15,QB11,,vs. PIT,11,2026-09-15
2026-09-15T18:35:35.444910+09:00,15501,3046779,Jared Goff,QB,DET,12.27,1.81,8,15,QB12,,at BUF,6,2026-09-15
